,Equipo1,Equipo2,PJ,PV,PE,PD,PGF,PGC
0,Boca Juniors,River Plate,27,29.63,29.63,40.74,0.85,1.15
1,Boca Juniors,Racing Club,20,25.0,40.0,35.0,1.0,0.95
2,Boca Juniors,Defensa y Justicia,14,50.0,35.71,14.29,0.93,0.5
3,Boca Juniors,Unión,14,50.0,21.43,28.57,1.43,1.0
4,Boca Juniors,Lanús,14,42.86,21.43,35.71,1.21,1.07
5,Boca Juniors,Estudiantes (LP),14,35.71,28.57,35.71,0.86,0.79
6,Boca Juniors,Newell's Old Boys,13,69.23,23.08,7.69,1.69,0.62
7,Boca Juniors,Huracán,13,38.46,53.85,7.69,1.08,0.46
8,Boca Juniors,Godoy Cruz,12,75.0,16.67,8.33,1.92,0.83
9,Boca Juniors,Tigre,12,66.67,8.33,25.0,1.75,1.0
10,Boca Juniors,Rosario Central,12,33.33,41.67,25.0,1.17,1.0
11,Boca Juniors,Vélez Sarsfield,11,63.64,18.18,18.18,1.91,0.64
12,Boca Juniors,San Lorenzo,11,45.45,18.18,36.36,1.36,1.09
13,Boca Juniors,Independiente,11,27.27,54.55,18.18,1.09,0.73
14,Boca Juniors,Gimnasia y Esgrima (LP),10,60.0,20.0,20.0,1.7,1.0
15,Boca Juniors,Atlético Tucumán,10,50.0,20.0,30.0,1.4,1.0
16,Boca Juniors,Argentinos Juniors,10,40.0,30.0,30.0,0.8,0.8
17,Boca Juniors,Colón,9,66.67,22.22,11.11,2.11,0.78
18,Boca Juniors,Sarmiento,9,66.67,22.22,11.11,1.33,0.33
19,Boca Juniors,Banfield,9,66.67,11.11,22.22,1.33,0.44
20,Boca Juniors,Talleres,9,44.44,22.22,33.33,1.0,0.89
21,Boca Juniors,Central Córdoba (SdE),8,75.0,12.5,12.5,2.88,0.62
22,Boca Juniors,Aldosivi,8,75.0,12.5,12.5,2.25,0.88
23,Boca Juniors,Arsenal de Sarandí,8,62.5,25.0,12.5,2.12,0.88
24,Boca Juniors,Belgrano,8,62.5,12.5,25.0,2.12,1.12
25,Boca Juniors,Patronato,7,57.14,14.29,28.57,1.0,0.71
26,Boca Juniors,Platense,6,66.67,16.67,16.67,1.83,0.83
28,Boca Juniors,San Martín de San Juan,5,80.0,20.0,0.0,2.4,0.8
30,Boca Juniors,Barracas Central,4,75.0,25.0,0.0,2.25,0.5
31,Boca Juniors,Club Atlético Temperley,4,75.0,25.0,0.0,1.75,0.0
40,Boca Juniors,Club Olimpo,3,66.67,33.33,0.0,2.67,1.0
41,Boca Juniors,Atlético de Rafaela,3,66.67,33.33,0.0,1.33,0.0
50,Boca Juniors,Quilmes,2,100.0,0.0,0.0,3.0,1.0
66,Boca Juniors,Instituto,2,0.0,50.0,50.0,1.0,1.5
67,Boca Juniors,Crucero del Norte,1,100.0,0.0,0.0,1.0,0.0
68,Boca Juniors,San Martín de Tucumán,1,100.0,0.0,0.0,4.0,1.0
69,Boca Juniors,Chacarita Juniors,1,100.0,0.0,0.0,1.0,0.0
70,Boca Juniors,Club Atlético Nueva Chicago,1,0.0,100.0,0.0,0.0,0.0
71,Boca Juniors,Deportivo Riestra,1,0.0,100.0,0.0,1.0,1.0
72,Boca Juniors,Independiente Rivadavia,1,0.0,100.0,0.0,1.0,1.0
74,Banfield,Lanús,17,35.29,29.41,35.29,0.88,1.0
75,Banfield,San Lorenzo,14,21.43,42.86,35.71,0.79,0.93
