,Equipo,RTJ2024,efectividad_L,%victorias_L,%empates_L,%derrota_L,efectividad_V,%victorias_V,%empates_V,%derrota_V,xg
0,Aldosivi,28.724,25.64,23.08,7.69,69.23,14.29,7.14,21.43,71.43,20.65
1,Argentinos Juniors,39.62875,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
2,Atlético Tucumán,36.97714285714285,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
3,Banfield,34.07875,38.22,24.36,41.58,34.07,31.07,22.71,25.09,52.2,28.15
4,Barracas Central,34.805,40.9,26.19,44.14,29.67,34.07,22.34,35.16,42.49,20.65
5,Belgrano,39.496,54.4,44.51,29.67,25.82,33.33,21.98,34.07,43.96,28.7
6,Boca Juniors,41.60142857142857,69.17,60.99,24.54,14.47,44.44,37.91,19.6,42.49,33.48
7,Central Córdoba (SdE),31.948,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
8,Defensa y Justicia,41.98,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
9,Deportivo Riestra,28.724,69.05,57.14,35.71,7.14,15.38,0.0,46.15,53.85,26.64
10,Estudiantes (LP),36.735,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
11,Gimnasia y Esgrima (LP),35.38,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
12,Godoy Cruz,35.95375,61.05,47.8,39.74,12.45,30.95,21.98,26.92,51.1,31.19
13,Huracán,39.485,62.33,52.38,29.85,17.77,35.16,22.16,39.01,38.83,25.46
14,Independiente,35.5475,51.34,39.74,34.8,25.46,33.33,19.41,41.76,38.83,26.99
15,Independiente Rivadavia,40.013333333333335,58.97,46.15,38.46,15.38,35.71,28.57,21.43,50.0,23.89
16,Instituto,36.722857142857144,55.77,44.78,32.97,22.25,28.39,22.25,18.41,59.34,28.21
17,Lanús,43.256,54.09,45.05,27.11,27.84,30.1,17.03,39.19,43.77,29.71
18,Newell's Old Boys,39.221999999999994,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
19,Platense,34.706,52.14,39.19,38.83,21.98,34.0,24.91,27.29,47.8,23.92
20,Racing Club,42.59285714285714,66.85,58.79,24.18,17.03,41.7,32.42,27.84,39.74,35.62
21,River Plate,36.70428571428572,72.59,67.77,14.47,17.77,51.65,41.03,31.87,27.11,45.46
22,Rosario Central,30.098333333333333,58.3,46.15,36.45,17.4,28.27,14.84,40.29,44.87,25.93
23,San Lorenzo,33.43,52.38,38.64,41.21,20.15,44.32,32.6,35.16,32.23,24.18
24,Sarmiento,36.385,44.2,32.6,34.8,32.6,28.27,16.85,34.25,48.9,25.43
25,Talleres,37.626,60.26,51.28,26.92,21.79,49.02,37.36,34.98,27.66,32.16
26,Tigre,37.25555555555556,46.95,35.35,34.8,29.85,44.81,34.25,31.68,34.07,27.03
27,Unión,33.55875,52.08,44.51,22.71,32.78,31.62,17.03,43.77,39.19,28.52
28,Vélez Sarsfield,38.544999999999995,61.29,48.17,39.38,12.45,26.74,14.65,36.26,49.08,39.33
29,San Martín de San Juan,28.724,25.64,23.08,7.69,7.14,14.29,0.0,18.41,27.11,20.65
